name,Second Number,GLD,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,V
ben+C31_COOH+C13_NH3+L3_CN_F+L34_NO2_COOH,192,30.30391,24.77251,30.42579,0.139267,808.869,5808.04,6.70223,0.9334,0.0850846,0.283605,3.052509584,3.052509584,0.049648,0.0650586,,0.317988512,43402.5
ben+C18_COOH+C36_COOH+L36_SH_NH3+L42_SH_COOH,211,42.46807,38.95923,42.46807,0.12074,686.241,5683.65,7.79413,0.94106,0.0719566,0.185414,3.522645547,3.522645547,0.0552748,0.0627651,,0.280633864,60674.5
ben+C18_COOH+C24_NH3+L23_CH3_COOH+L43_Br_NH3,144,40.8614,37.34949,41.17646,0.0980651,628.448,6408.48,9.69682,0.95092,0.0688654,0.210322,2.67378184,2.67378184,0.0369147,0.0552247,,0.211660034,69572.1
ben+C25_COOH+C36_COOH+L67_CH3_NH3+L3_Br_F,116,44.35038,34.99297,45.12699,0.087812,571.718,6510.71,10.8782,0.95524,0.0628845,0.121405,1.967088268,1.967088268,0.0241764,0.0491618,,0.181284185,103612
ben+C18_COOH+C24_NH3+L25_CH3_NH3+L24_COOH,272,39.45062,36.20063,39.54991,0.103611,649.75,6271.04,9.16029,0.94911,0.0709173,0.178925,2.823605067,2.823605067,0.0428103,0.0606463,,0.252248119,57000.7
ben+C31_COOH+C36_COOH+L15_COOH+L71_NH2_NH3,293,28.06795,24.03924,28.06795,0.162209,924.246,5697.87,5.69148,0.92321,0.0974871,0.391064,4.598856489,4.598856489,0.0988131,0.0859458,,0.40014813,36393.9
ben+C62_NH3+C36_COOH+L38_COOH+L75_NH2_NH3,194,48.15765,41.03355,48.15765,0.0792405,538.481,6795.53,12.0534,0.95512,0.0520518,0.0793551,2.571961495,2.571961495,0.0321283,0.049967,,0.181286553,117059
ben+C32_NH3+C36_COOH+L74_CF3_F+L35_CF3_NH3,182,20.5594,17.22413,20.84621,0.309205,1442.12,4663.97,2.78236,0.86032,0.131435,0.682398,5.534660511,5.534660511,0.151658,0.109606,,0.698825374,18257.2
ben+C69_COOH+C13_NH3+L23_CN_COOH+L35_SH_COOH,160,44.60445,39.92335,44.86912,0.0691461,490.027,7086.83,13.9448,0.96423,0.0542426,0.0862866,1.821102051,1.821102051,0.0210045,0.0461358,,0.152406301,114920
ben+C18_COOH+C24_NH3+L76_Br_NH3+L71_CH3_COOH,182,46.31165,40.91503,46.56587,0.0804452,495.605,6160.78,11.9486,0.96121,0.060507,0.125131,2.369425535,2.369425535,0.031022,0.0523705,,0.181811895,100130
ben+C62_NH3+C36_COOH+L18_COOH_COOH+L2_F_COOH,229,56.61647,52.13189,57.97461,0.0604962,407.936,6743.17,15.9731,0.96631,0.0515328,0.0803268,1.956709725,1.956709725,0.0219264,0.044823,,0.142761079,172267
ben+C69_COOH+C36_COOH+L66_COOH_COOH+L73_COOH_COOH,366,52.38324,46.96177,53.34553,0.0671409,443.548,6606.23,14.35,0.96347,0.0515643,0.0757829,2.972909566,2.972909566,0.034848,0.0468874,,0.172114427,142361
ben+C31_COOH+C24_NH3+L35_CH3_COOH+L3_OH_NH3,183,27.70812,23.0402,29.35676,0.144665,869.886,6013.11,6.42422,0.92936,0.0847814,0.285243,3.347751193,3.347751193,0.0587414,0.0701861,,0.327297487,35556.2
ben+C19_COOH+C36_COOH+L15_CH3_NH3+L3_CN_COOH,310,36.25589,29.76362,36.25589,0.126677,783.318,6183.57,7.40551,0.93811,0.0721686,0.176937,3.392351914,3.392351914,0.0571211,0.0673528,,0.315598225,57662.5
ben+C58_NH3+C36_COOH+L41_CF3_COOH+L25_CH3_COOH,125,34.81896,30.94727,36.45055,0.104973,785.256,7480.54,8.97011,0.94162,0.0599622,0.110888,2.235395524,2.235395524,0.0289814,0.0518591,,0.220118935,62982.3
ben+C62_COOH+C13_NH3+L32_Cl_F+L26_OH_NH3,200,52.08394,47.32485,52.82821,0.0551564,404.909,7341.11,17.5604,0.96857,0.0484903,0.0663795,1.63848387,1.63848387,0.017623,0.0430227,,0.126916531,160731
ben+C38_COOH+C36_COOH+L66_NO2_F+L66_NH2_F,300,36.1353,29.58442,37.69226,0.0840511,588.634,7003.28,11.3551,0.95441,0.0577552,0.117482,3.278561101,3.278561101,0.0463132,0.0565043,,0.208204766,72498.4
ben+C31_COOH+C36_COOH+L35_COOH_F+L2_CH3_F,86,26.20068,21.03891,26.46149,0.175464,1000.5,5702.0,5.22734,0.91721,0.0832486,0.25748,3.147127867,3.147127867,0.0542627,0.0689679,,0.339434836,27562.8
ben+C62_COOH+C36_COOH+L4_NH2_COOH+L44_Br_NH3,204,46.54237,42.4778,47.21816,0.0940334,597.28,6351.78,10.1004,0.94978,0.05926,0.110179,2.266910789,2.266910789,0.0281365,0.0496473,,0.217182377,99195.9
ben+C18_COOH+C36_COOH+L26_F+L16_COOH_COOH,113,46.23927,43.56614,46.5124,0.0805811,532.802,6611.99,11.8724,0.95669,0.0569116,0.10011,2.271578597,2.271578597,0.0286387,0.0504296,,0.165439319,113169
ben+C49_COOH+C24_NH3+L49_SH_NH3+L44_F_F,72,40.63784,35.53515,40.63784,0.100521,702.199,6985.58,9.39235,0.94413,0.064845,0.149802,2.331877643,2.331877643,0.0295151,0.0506289,,0.18670092,72997
ben+C32_NH3+C36_COOH+L32_NO2_F+L73_CH3_F,82,22.0314,17.87124,22.41973,0.209579,1270.34,6061.39,4.21029,0.88239,0.0867132,0.343755,3.745116049,3.745116049,0.0673796,0.0719653,,0.401095193,25769.9
ben+C38_NH3+C13_NH3+L24_SH_COOH+L73_CF3_COOH,436,21.44882,17.37199,21.46052,0.221194,1243.21,5620.44,4.01955,0.8891,0.136783,2.56664,10.6747783,10.6747783,0.279866,0.10487,,0.583838575,30692.4
ben+C31_COOH+C36_COOH+L35_Br_NH3+L4_NO2_COOH,233,25.79505,20.03724,25.83017,0.235018,1123.41,4780.08,3.82647,0.89929,0.139569,0.968128,6.237432558,6.237432558,0.167631,0.1075,,0.556371254,26747.4
ben+C38_COOH+C13_NH3+L66_NO2_NH3+L4_Br_F,496,35.74634,29.25551,36.31373,0.113525,719.049,6333.81,8.3176,0.94426,0.0839004,0.379106,4.026697345,4.026697345,0.0657156,0.0652799,,0.306004557,60583.4
ben+C54_COOH+C36_COOH+L75_SH_COOH+L18_COOH,266,40.13489,31.80044,40.13489,0.105968,598.959,5652.25,8.92116,0.94536,0.0711696,0.184345,3.292782203,3.292782203,0.0490236,0.0595528,,0.256959857,99478.2
ben+C49_COOH+C24_NH3+L1_OH_F+L31_COOH,164,35.14126,31.5818,35.50049,0.11532,722.04,6261.16,8.17236,0.94244,0.0686691,0.15755,2.484829282,2.484829282,0.0350943,0.0564937,,0.255415793,41132.4
ben+C49_NH3+C36_COOH+L31_Br_COOH+L71_OH_F,121,33.07801,28.71995,33.17983,0.129865,769.155,5922.72,7.24683,0.94111,0.0713058,0.173205,2.589632137,2.589632137,0.0383979,0.0593102,,0.270480922,38038.6
ben+C38_COOH+C13_NH3+L6_SH_COOH+L24_CF3_F,425,19.51185,15.15343,19.77626,0.298371,1430.25,4793.54,2.93115,0.87457,0.751808,96.2904,19.53729676,19.53729676,0.747707,0.153083,,0.784235033,16115.4
ben+C54_COOH+C13_NH3+L75_COOH+L13_Cl_F,125,45.56826,40.53253,47.6552,0.0653523,399.832,6118.1,14.8074,0.9677,0.0668879,0.166535,1.975636567,1.975636567,0.0230945,0.0467586,,0.137037892,164677
ben+C19_COOH+C24_NH3+L8_COOH_F+L15_F,113,48.19905,38.57177,48.27588,0.0605545,446.364,7371.27,15.9783,0.96756,0.0578419,0.10635,1.76834059,1.76834059,0.0199414,0.0451076,,0.124323139,142166
ben+C58_COOH+C24_NH3+L66_Br_COOH+L1_CN_F,123,54.27114,49.84958,54.27114,0.0551246,422.748,7668.94,17.6046,0.97045,0.0501129,0.0706451,1.544500071,1.544500071,0.0161118,0.0417269,,0.115205183,157061
ben+C37_COOH+C13_NH3+L24_NH2_COOH+L43_F,389,17.53375,13.66856,17.58565,0.285413,1549.33,5428.37,3.03619,0.86657,0.481505,18.2541,22.32180745,22.32180745,0.811141,0.145354,,0.739205286,14281.6
ben+C31_COOH+C24_NH3+L23_NO2_COOH+L72_F,147,26.60364,21.9707,26.72397,0.161476,913.133,5654.93,5.75331,0.92902,0.0877816,0.373516,4.841876022,4.841876022,0.0913777,0.0754895,,0.349969734,34280.8
ben+C58_COOH+C36_COOH+L26_NO2_COOH+L22_NH3,199,37.21188,34.13728,37.45539,0.0978285,762.007,7789.22,9.67898,0.94688,0.0600948,0.11,2.025225239,2.025225239,0.0256593,0.0506794,,0.224893348,65284.3
ben+C37_NH3+C36_COOH+L35_Br_F+L73_SH_COOH,375,16.39641,14.15199,16.39641,0.396651,1637.43,4128.15,2.07248,0.82205,0.314852,5.24848,11.38039503,11.38039503,0.582662,0.204795,,1.020992076,14393.2
ben+C49_COOH+C36_COOH+L8_NO2_F+L42_F,80,40.05314,38.06283,40.05314,0.125201,812.738,6491.47,7.44068,0.93158,0.0581975,0.10629,2.312734945,2.312734945,0.0302541,0.0523261,,0.238268769,42250.2
ben+C62_NH3+C13_NH3+L8_NH2_F+L3_CF3_COOH,164,62.74613,56.18848,63.74385,0.0469042,338.76,7222.38,20.7401,0.9728,0.0456282,0.0567955,1.563396854,1.563396854,0.016111,0.0412205,,0.103885479,215227
ben+C49_NH3+C24_NH3+L76_F_NH3+L32_CN_F,94,34.76936,30.67057,34.81458,0.100785,720.788,7151.77,9.41682,0.94907,0.0630036,0.12395,2.042901326,2.042901326,0.0261569,0.0512152,,0.198861691,42923.1
ben+C38_NH3+C24_NH3+L38_Cl_NH3+L66_COOH_COOH,417,31.49448,23.8266,31.49448,0.110287,709.751,6435.47,8.54758,0.94269,0.0728593,0.197957,4.829836479,4.829836479,0.0770534,0.0638145,,0.288966945,57511.9
ben+C19_NH3+C36_COOH+L15_Cl_NH3+L3_Cl_COOH,310,35.9096,29.50336,35.93111,0.120052,752.768,6270.35,7.85759,0.94332,0.07054,0.164564,3.233514739,3.233514739,0.0525683,0.0650293,,0.299092954,57662.5
ben+C25_COOH+C13_NH3+L35_SH_NH3+L2_NH2_F,141,48.73866,42.55071,49.65588,0.0560523,391.457,6983.78,17.3183,0.97073,0.0586452,0.108512,1.728969776,1.728969776,0.0192092,0.0444408,,0.120468674,158588
ben+C58_NH3+C36_COOH+L42_COOH_F+L49_Cl_COOH,174,44.48749,36.35302,44.48749,0.0730803,533.089,7294.57,13.1139,0.95837,0.0512553,0.0772098,2.198202055,2.198202055,0.025675,0.04672,,0.163740011,166412
ben+C54_COOH+C36_COOH+L24_F_COOH+L4_NO2_NH3,234,28.16056,20.77786,28.45876,0.175111,974.168,5563.15,5.22554,0.91505,0.0940876,0.357077,4.319547175,4.319547175,0.0882558,0.0817269,,0.414875758,37696
ben+C58_COOH+C24_NH3+L31_CN_F+L2_COOH,162,46.07853,42.9307,46.90406,0.0580366,457.521,7883.33,16.6747,0.96774,0.0506745,0.0746497,1.724670546,1.724670546,0.0189374,0.0439212,,0.128232739,139227
